‎יש לקרוא את הנחיות הבטיחות לפני השימוש בטלוויזיה,safety
‎אין למקם את ההתקן בחלל סגור כגון ארונית ספרים או ארון מובנה אלא אם הם מספקים אוורור נאות,safety
‎אין למקם את ההתקן בקרבת רדיאטורים ומפזרי חום או מעליהם או במקום שבו ההתקן חשוף לאור שמש ישיר,safety
‎אין להניח על ההתקן כלים עם מים כיוון שהדבר עלול לגרום לסכנת שריפה או התחשמלות,safety
‎אין לחשוף את ההתקן לגשם או למקם אותו בקרבת מים,safety
‎אין להעמיס על שקעים כבלים מאריכים או מתאמים מעבר לקיבולת שלהם,safety
‎יש להניח כבלי מתח במיקום מתאים מתוך כוונה לצמצם את הסיכויים לכך שידרכו עליהם ואת הסיכויים שיפגעו מחפצים,safety
‎שמונחים או מושענים עליהם,safety
‎אין לחשוף את המוצר לטפטוף או להתזה של נוזל,safety
‎אין להשליך את הסוללות לאש,safety
‎אין לגרום לקצר בסוללות לפרק אותן או לחמם אותן יתר על המידה,safety
‎אם אתה מרכיב טלוויזיה זו על קיר עליך למלא במדויק את ההוראות שקבע היצרן,installation
‎אינה אחראית לנזק כלשהו למוצר או לפציעה שלך או של אחרים אם תבחר להתקין בעצמך את המתלה על הקיר,installation
‎התקן את המתלה על גבי קיר יציב שמאונך לרצפה לפני חיבור המתלה למשטחים מלבד לוח גבס צור קשר עם המשווק הקרוב,installation
‎אליך לקבלת מידע נוסף,installation
‎בעת התקנת ערכת מתלה מומלץ להדק את כל ארבעת הברגים,installation
‎אל תשתמש בברגים ארוכים מהגודל הסטנדרטי או בברגים שאינם תואמים למפרטי הברגים הסטנדרטיים,installation
‎אין להרכיב את הטלוויזיה בשיפוע של למעלה מ 15 מעלות,installation
תהליך הרכבת הטלוויזיה על הקיר צריך תמיד להתבצע על ידי שני אנשים,installation
‎אם נראה שקיימת בעיה בטלוויזיה נסה תחילה להיעזר ברשימה זו של בעיות ופתרונות אפשריים,problem
‎ודא שהשקע בקיר פועל באופן תקין ושחיישן השלט הרחוק בתחתית הטלוויזיה מואר באור אדום רציף,problem
‎ודא שההתקן מחובר כהלכה ושכל הכבלים הוכנסו במלואם,problem
‎הסר וחבר מחדש את כל הכבלים המחוברים לטלוויזיה ולהתקנים החיצוניים נסה כבלים חדשים אם אפשר,problem
‎בצע אבחון עצמי בטלוויזיה כדי לקבוע אם הבעיה נגרמה על ידי הטלוויזיה או ההתקן,problem
‎אם אינך משתמש בממיר כבלים או לוויין והטלוויזיה שלך מקבלת אותות טלוויזיה מחיבור לאנטנה או ממחבר לכבל בקיר יש להריץ כוונון אוטומטי לחיפוש ערוצים,problem
‎בדוק אם מחוון ההפעלה שבתחתית הטלוויזיה מהבהב כשאתה לוחץ על לחצן ההפעלה בשלט,problem
‎ודא שהטלוויזיה מחוברת לרשת,problem